A,25-Jun-2021,147.01,147.76,146.21,147.28,8445100
AA,25-Jun-2021,36.95,37.11,35.78,35.8,32496800
AAC,25-Jun-2021,9.8,9.87,9.79,9.87,1885900
AAC.U,25-Jun-2021,10,10.12,10,10.07,329100
AAC.W,25-Jun-2021,1.16,1.25,1.16,1.16,169400
AAI-B,25-Jun-2021,24.84,24.84,24.7675,24.84,900
AAI-C,25-Jun-2021,25,25.0001,24.88,24.9745,1400
AAIC,25-Jun-2021,3.99,4.095,3.99,4,4906600
AAN,25-Jun-2021,33.36,34.74,32.52,32.98,1823700
AAP,25-Jun-2021,202.17,205.46,202,204.43,675000
AAQ.U,25-Jun-2021,10.0609,10.072,10.0609,10.072,600
AAQ.W,25-Jun-2021,1.27,1.27,1.24,1.24,6100
AAQC,25-Jun-2021,9.73,9.73,9.6901,9.71,3600
AAT,25-Jun-2021,37.33,37.61,37.22,37.51,594300
AB,25-Jun-2021,45.91,46.2346,45.6501,45.96,140100
ABB,25-Jun-2021,34.6,34.64,34.45,34.49,902600
ABBV,25-Jun-2021,112.9,113.59,112.14,112.98,11709300
ABC,25-Jun-2021,115.48,116.78,114.98,116.34,2753300
ABEV,25-Jun-2021,3.63,3.6375,3.42,3.44,42125500
ABG,25-Jun-2021,162.05,169.59,162.05,169.01,857400
ABM,25-Jun-2021,45.13,45.9,44.91,45.02,951600
ABR,25-Jun-2021,18.57,18.64,18.31,18.39,4516600
ABR-D,25-Jun-2021,25.52,25.56,25.4,25.44,131700
ABT,25-Jun-2021,111.88,113.26,111.51,112.72,8750400
AC,25-Jun-2021,39.01,40.93,38.76,40.06,42100
ACA,25-Jun-2021,60,60.47,59.25,59.33,534300
ACC,25-Jun-2021,47.7,48.24,47.39,48.2,1412500
ACCO,25-Jun-2021,8.52,8.83,8.51,8.68,1055500
ACEL,25-Jun-2021,12.81,12.81,12.23,12.31,549900
ACH,25-Jun-2021,15.01,15.1,14.95,15.07,181300
ACI,25-Jun-2021,19.86,20.14,19.775,20.08,2793000
ACI.S,25-Jun-2021,10.01,10.05,10.01,10.03,16900
