AACG,25-Jun-2021,3.07,3.1,2.98,3.05,63400
AADR,25-Jun-2021,67.22,67.22,66.865,66.865,1100
AAL,25-Jun-2021,22.33,22.48,22.07,22.22,18738600
AAME,25-Jun-2021,4.2,4.33,4.1501,4.26,50200
AAOI,25-Jun-2021,8.47,8.84,8.4611,8.82,3761300
AAON,25-Jun-2021,61.45,62.24,60.78,61.08,391400
AAPL,25-Jun-2021,133.46,133.89,132.81,133.11,70783700
AAWW,25-Jun-2021,69.24,69.97,67.84,68.18,751800
AAXJ,25-Jun-2021,94.85,94.955,94.53,94.88,1986200
ABCB,25-Jun-2021,52.96,53.55,52.525,53.02,821900
ABCL,25-Jun-2021,21.12,21.2,20.15,20.74,3134700
ABCM,25-Jun-2021,19.29,19.6458,19.045,19.2,133200
ABEO,25-Jun-2021,1.69,1.75,1.66,1.69,10125000
ABGI,25-Jun-2021,9.87,9.95,9.81,9.81,15900
ABIO,25-Jun-2021,3.53,3.62,3.5277,3.62,156400
ABMD,25-Jun-2021,312.3,314.28,308.99,311.54,355500
ABNB,25-Jun-2021,151.23,153.17,149.28,149.67,6452400
ABST,25-Jun-2021,14.49,14.5,14.33,14.36,100800
ABTX,25-Jun-2021,40,40.78,39.69,39.93,172900
ABUS,25-Jun-2021,3.37,3.45,3.31,3.37,10786100
ACAD,25-Jun-2021,24.97,26.315,24.61,26.17,16283500
ACAH,25-Jun-2021,9.72,9.72,9.72,9.72,1000
ACAHU,25-Jun-2021,9.94,9.94,9.94,9.94,3300
ACAHW,25-Jun-2021,0.8199,0.8199,0.8199,0.8199,100
ACB,25-Jun-2021,9.31,9.37,9.08,9.11,2780700
ACBAU,25-Jun-2021,10.45,10.45,10.45,10.45,2000
ACBAW,25-Jun-2021,0.51,0.5201,0.483,0.49,47000
ACBI,25-Jun-2021,26.4,26.78,25.79,26.02,466900
ACCD,25-Jun-2021,53.16,54.2,52.6,52.91,2599300
ACER,25-Jun-2021,2.95,2.98,2.94,2.98,79900
ACET,25-Jun-2021,9.72,10.41,9.5,9.7,2600500
ACEV,25-Jun-2021,9.99,9.99,9.95,9.97,98400
ACEVU,25-Jun-2021,10.95,10.95,10.95,10.95,200
ACEVW,25-Jun-2021,2,2.0799,1.98,2,54000
ACGL,25-Jun-2021,38.84,39.43,38.72,39.3,4113900
ACGLN,25-Jun-2021,25.85,25.85,25.57,25.66,125300
ACGLO,25-Jun-2021,26.34,26.3777,26.11,26.19,16400
