time,actual,predict
2020-09-23,11.66,-1291320.017018629
2020-09-24,11.65,-1133436.727762125
2020-09-25,11.98,10157304.2264031
2020-09-28,12.4,-198064.63181773678
2020-09-29,13.14,-2216239.587363408
2020-09-30,12.46,132405.16014691858
2020-10-01,12.94,427065.9808775243
2020-10-02,12.93,-272488.0271734093
2020-10-05,12.68,-24660.103723873413
2020-10-06,10.97,10743936.725960635
2020-10-07,10.7,27606262.044500772
2020-10-08,10.6,38082038.950387746
2020-10-09,10.57,13182686.53693622
2020-10-12,10.68,19938977.58954298
2020-10-13,10.59,-8430656.01657544
2020-10-14,10.52,-5282268.526780822
2020-10-15,10.47,7263.892429809074
2020-10-16,10.68,1376645.132414671
2020-10-19,10.64,2066112.0122272794
2020-10-20,10.35,-1676831.2918989044
2020-10-21,10.22,-5374791.51301373
2020-10-22,10.15,-10893109.742495488
2020-10-23,10.2,4302853.224890096
2020-10-26,10.1,386718.89036881085
2020-10-27,10.08,-5388513.177636004
2020-10-28,9.99,3964242.5262182914
2020-10-29,9.98,-2387679.617969203
2020-10-30,10.02,26617230.438840892
2020-11-02,9.98,3505726.423396824
2020-11-03,9.99,-4375318.4334927695
2020-11-04,10.06,-1878271.2328933205
2020-11-05,10.08,1942646.8850418588
2020-11-06,10.03,17300849.56694653
2020-11-09,10.03,-1333060.1826038521
2020-11-10,9.98,1123823.4550115594
2020-11-11,9.95,5624262.783660143
2020-11-12,9.94,-124122.70268321136
2020-11-13,9.97,27880370.826402385
2020-11-16,9.99,53170.373442897326
2020-11-17,10.0,-30449650.9039513
2020-11-18,9.98,-4601445.84021637
2020-11-19,9.99,-15329790.723098814
2020-11-20,10.04,103726.54396542755
2020-11-23,10.01,-15980454.226574227
2020-11-24,10.01,-512945.9250978316
2020-11-25,10.29,9196026.889866231
2020-11-27,10.27,5850766.29040791
2020-11-30,10.39,3068376.670202236
2020-12-01,10.26,8636779.568294968
2020-12-02,10.25,-2592155.7768546394
2020-12-03,10.25,-1716681.0085213655
2020-12-04,10.51,960457.6258036975
2020-12-07,10.94,25391432.453389533
2020-12-08,11.18,6937237.284172496
2020-12-09,11.27,29487399.445669126
2020-12-10,11.5,-6026540.693330578
