,target,rmse,r2,start,mid,end,actual,predict
0,target_1,0.4454879769091857,0.9203920399147956,0,60,90,"[[7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]
 [4.3 ]
 [3.89]
 [3.92]
 [3.99]
 [4.1 ]]","[[7.01557342]
 [7.07979611]
 [7.09326989]
 [7.29150758]
 [7.684867  ]
 [7.14868174]
 [7.01513754]
 [6.63048337]
 [5.80862092]
 [6.54706239]
 [6.41354075]
 [6.1951662 ]
 [5.96351394]
 [5.76564289]
 [4.78445472]
 [4.17071972]
 [4.39053639]
 [4.21413633]
 [2.91261454]
 [3.39957279]
 [2.87656549]
 [2.94621459]
 [2.5371922 ]
 [2.8718544 ]
 [3.644825  ]
 [3.50946849]
 [3.73136569]
 [4.16479509]
 [3.64558611]
 [3.80530713]
 [3.71255245]
 [3.40005422]
 [3.29514303]
 [3.04229324]
 [2.63218557]
 [2.75232125]
 [3.35977924]
 [3.28596764]
 [3.55254467]
 [2.5824399 ]
 [2.46577273]
 [2.41126762]
 [2.6510188 ]
 [3.99348771]
 [3.4186539 ]
 [3.43729142]
 [3.63563243]
 [3.44484028]
 [3.39254659]
 [3.42833754]
 [3.89853744]
 [4.50038273]
 [5.1391588 ]
 [4.77260526]
 [4.25661573]
 [4.89113259]
 [4.29648825]
 [4.18539355]
 [4.31907242]
 [5.96229614]]"
1,target_2,1.7261154633686728,-0.1393922391145208,0,60,90,"[[6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]
 [4.3 ]
 [3.89]
 [3.92]
 [3.99]]","[[ 6.96077022]
 [ 6.93917707]
 [ 6.82372938]
 [ 7.02994742]
 [ 7.43636608]
 [ 7.28416708]
 [ 6.74076504]
 [ 6.80309061]
 [ 6.30916263]
 [ 6.88396178]
 [ 6.84992576]
 [ 6.55042791]
 [ 6.57609111]
 [ 6.19359405]
 [ 5.66205339]
 [ 5.19655536]
 [ 5.46440995]
 [ 5.1571145 ]
 [ 4.32514642]
 [ 4.96988165]
 [ 4.43949559]
 [ 4.6596299 ]
 [ 3.80084009]
 [ 4.29772251]
 [ 4.84408251]
 [ 4.89655175]
 [ 5.20020252]
 [ 5.30192215]
 [ 4.69522458]
 [ 5.01368788]
 [ 4.8784521 ]
 [ 4.71727524]
 [ 4.7271875 ]
 [ 4.61892288]
 [ 4.57700263]
 [ 4.32509049]
 [ 4.42802264]
 [ 4.90495308]
 [ 5.1150604 ]
 [ 4.94367784]
 [ 4.45241786]
 [ 4.41595525]
 [ 4.4317119 ]
 [ 6.00082653]
 [ 4.95930155]
 [ 4.76662879]
 [ 5.00506886]
 [ 4.87472023]
 [ 4.79265825]
 [ 4.85333949]
 [ 5.09480499]
 [ 5.82303385]
 [ 6.25954971]
 [ 5.86266131]
 [ 4.83637505]
 [ 5.61799815]
 [ 5.34410631]
 [ 5.22972541]
 [ 5.39858032]
 [10.47952906]]"
2,target_3,3.0847863138733427,-2.4739467024539166,0,60,90,"[[6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]
 [4.3 ]
 [3.89]
 [3.92]]","[[ 6.87278071]
 [ 6.86049026]
 [ 6.84526679]
 [ 7.02556224]
 [ 7.1933188 ]
 [ 7.23461035]
 [ 6.32503507]
 [ 6.80973888]
 [ 6.51531691]
 [ 7.0164726 ]
 [ 6.9835017 ]
 [ 6.71709535]
 [ 6.9266095 ]
 [ 6.44183476]
 [ 6.35834043]
 [ 5.98144957]
 [ 6.19842246]
 [ 5.89587611]
 [ 5.68049886]
 [ 6.11701734]
 [ 5.85460399]
 [ 5.91070287]
 [ 4.90398796]
 [ 5.38398134]
 [ 5.74318019]
 [ 5.99636222]
 [ 6.26264557]
 [ 6.26699167]
 [ 5.51926233]
 [ 5.81134295]
 [ 5.71538904]
 [ 5.82229474]
 [ 5.80157835]
 [ 5.92821381]
 [ 6.1226006 ]
 [ 5.58462045]
 [ 5.45427936]
 [ 6.17136618]
 [ 6.56391793]
 [ 7.29213285]
 [ 6.30571612]
 [ 6.18949144]
 [ 5.80535976]
 [ 8.20797178]
 [ 6.36631759]
 [ 6.07760493]
 [ 6.03467971]
 [ 5.96866692]
 [ 5.84137298]
 [ 6.05667425]
 [ 6.64944368]
 [ 7.68369578]
 [ 7.26373617]
 [ 6.64431917]
 [ 5.40244176]
 [ 6.21302564]
 [ 6.14334483]
 [ 6.00947777]
 [ 6.16152947]
 [17.43242741]]"
3,target_4,3.972842649631506,-4.5479120907772135,0,60,90,"[[6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]
 [4.3 ]
 [3.89]]","[[ 6.85588876]
 [ 6.72992363]
 [ 6.70951543]
 [ 7.02197   ]
 [ 7.08717714]
 [ 7.31775759]
 [ 6.47275889]
 [ 7.15436226]
 [ 7.3210896 ]
 [ 7.4431558 ]
 [ 7.45685073]
 [ 7.02820198]
 [ 7.39079059]
 [ 6.97458649]
 [ 6.92353659]
 [ 6.65673965]
 [ 6.98815855]
 [ 6.57090881]
 [ 6.68414389]
 [ 7.19086608]
 [ 6.82270044]
 [ 7.23678423]
 [ 6.08799716]
 [ 6.81629186]
 [ 6.64775684]
 [ 7.05194384]
 [ 7.16894362]
 [ 7.15801327]
 [ 6.35071688]
 [ 6.66785507]
 [ 6.51184853]
 [ 6.57668905]
 [ 6.79679523]
 [ 7.02617742]
 [ 7.32119412]
 [ 6.7614812 ]
 [ 6.37038489]
 [ 7.31689244]
 [ 7.68761286]
 [ 8.72198275]
 [ 7.46263643]
 [ 7.51178435]
 [ 6.93251023]
 [ 9.59825662]
 [ 7.35447553]
 [ 6.82365524]
 [ 6.82743495]
 [ 6.77269076]
 [ 6.6401115 ]
 [ 6.95759076]
 [ 7.94929819]
 [ 8.95563652]
 [ 8.07724799]
 [ 7.37573689]
 [ 6.09410221]
 [ 6.92464918]
 [ 6.75175592]
 [ 6.63716789]
 [ 6.77312168]
 [20.38894781]]"
4,target_5,4.263399660846967,-5.210247530990259,0,60,90,"[[6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]
 [4.3 ]]","[[ 6.85087247]
 [ 6.76154705]
 [ 6.63289215]
 [ 6.91741163]
 [ 7.02375238]
 [ 7.2359233 ]
 [ 7.12747771]
 [ 7.61345899]
 [ 7.76119675]
 [ 7.759196  ]
 [ 7.56541288]
 [ 7.24374131]
 [ 7.46929328]
 [ 7.46752982]
 [ 7.26159548]
 [ 7.12314829]
 [ 7.35145298]
 [ 7.1470554 ]
 [ 7.45829031]
 [ 7.69580876]
 [ 7.56423508]
 [ 7.93955112]
 [ 7.40504127]
 [ 7.88616947]
 [ 7.41770609]
 [ 7.61840031]
 [ 7.55147322]
 [ 7.71130537]
 [ 7.21276412]
 [ 7.27383441]
 [ 7.22924242]
 [ 7.07068986]
 [ 7.50602673]
 [ 7.78559404]
 [ 7.81554835]
 [ 7.58590039]
 [ 7.46566547]
 [ 7.8669045 ]
 [ 8.35634681]
 [ 9.08651377]
 [ 8.03103072]
 [ 8.13311441]
 [ 7.53324295]
 [ 9.89391754]
 [ 7.9326192 ]
 [ 7.1994543 ]
 [ 7.32601239]
 [ 7.27480848]
 [ 7.18589604]
 [ 7.40425909]
 [ 8.91356178]
 [ 9.55989521]
 [ 8.20666375]
 [ 7.6991185 ]
 [ 7.07052319]
 [ 7.57190302]
 [ 7.10453186]
 [ 7.17403394]
 [ 7.19486244]
 [18.89885595]]"
5,target_6,4.374450716654141,-5.328486851113443,0,60,90,"[[6.75]
 [6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]
 [4.57]]","[[ 6.82402535]
 [ 6.90680712]
 [ 6.67697141]
 [ 6.73530311]
 [ 6.81121151]
 [ 6.98147273]
 [ 7.39175063]
 [ 7.60065981]
 [ 7.44239009]
 [ 7.62282255]
 [ 7.12837764]
 [ 7.19662078]
 [ 7.22459962]
 [ 7.42342858]
 [ 7.50091298]
 [ 7.4835694 ]
 [ 7.39644352]
 [ 7.54803565]
 [ 8.2105093 ]
 [ 7.89007964]
 [ 8.35828247]
 [ 8.05521194]
 [ 8.45711706]
 [ 8.34847932]
 [ 7.93026667]
 [ 7.78771169]
 [ 7.76167998]
 [ 7.85635185]
 [ 7.98754622]
 [ 7.65599025]
 [ 7.76525833]
 [ 7.64819382]
 [ 7.92759598]
 [ 8.23665634]
 [ 8.10573396]
 [ 8.19455367]
 [ 8.45279565]
 [ 8.11185531]
 [ 8.60594291]
 [ 9.22947131]
 [ 8.63587718]
 [ 8.58105901]
 [ 7.98879683]
 [ 9.62944443]
 [ 8.42304609]
 [ 7.71427965]
 [ 7.77583833]
 [ 7.79895399]
 [ 7.75303379]
 [ 7.78643648]
 [ 9.36478275]
 [ 9.7678354 ]
 [ 7.93384685]
 [ 7.7703818 ]
 [ 7.89367363]
 [ 7.72087686]
 [ 7.41497648]
 [ 7.73558838]
 [ 7.62209491]
 [16.10065834]]"
6,target_7,4.157595030797077,-4.509134398595162,0,60,90,"[[7.  ]
 [6.75]
 [6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]
 [4.92]]","[[ 6.9003697 ]
 [ 6.86378623]
 [ 6.77513566]
 [ 7.0742258 ]
 [ 6.94656377]
 [ 7.1501639 ]
 [ 7.13873861]
 [ 7.43207152]
 [ 7.69104914]
 [ 7.6713478 ]
 [ 7.26766361]
 [ 7.07838337]
 [ 7.29115784]
 [ 7.12182768]
 [ 7.18277798]
 [ 7.00654136]
 [ 7.14975612]
 [ 6.96799403]
 [ 7.61303871]
 [ 7.53326161]
 [ 7.65419615]
 [ 7.61291139]
 [ 7.62584047]
 [ 8.06539869]
 [ 7.31436169]
 [ 7.38395424]
 [ 7.41744393]
 [ 7.4203413 ]
 [ 7.40748909]
 [ 7.17807328]
 [ 7.04356275]
 [ 7.03489463]
 [ 7.25675157]
 [ 7.53112175]
 [ 7.59964252]
 [ 7.6852203 ]
 [ 7.69716817]
 [ 7.8180936 ]
 [ 8.07578413]
 [ 8.95216772]
 [ 8.0540222 ]
 [ 8.16445502]
 [ 7.41848461]
 [ 9.67861965]
 [ 7.97157959]
 [ 7.19071911]
 [ 7.18745835]
 [ 7.19770053]
 [ 7.10963734]
 [ 7.3687099 ]
 [ 9.28983533]
 [10.13273367]
 [ 8.02982395]
 [ 7.59414571]
 [ 7.32918208]
 [ 7.21775349]
 [ 6.95465468]
 [ 7.21769629]
 [ 7.17113124]
 [19.02044237]]"
7,target_8,3.391551856796364,-2.5759187272374233,0,60,90,"[[6.65]
 [7.  ]
 [6.75]
 [6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]
 [5.19]]","[[ 7.00885974]
 [ 6.94955227]
 [ 6.97529079]
 [ 7.40792869]
 [ 7.19240715]
 [ 7.23732087]
 [ 7.12387843]
 [ 7.242407  ]
 [ 7.54002611]
 [ 7.54281759]
 [ 7.13147071]
 [ 6.83476004]
 [ 7.03296013]
 [ 6.67967962]
 [ 6.53352298]
 [ 6.16701118]
 [ 6.42302539]
 [ 6.09362453]
 [ 6.46399604]
 [ 6.48388304]
 [ 6.39312413]
 [ 6.3956515 ]
 [ 6.36904509]
 [ 7.0619098 ]
 [ 6.28133341]
 [ 6.36551115]
 [ 6.45193156]
 [ 6.51594711]
 [ 6.47882441]
 [ 6.24496875]
 [ 5.97412484]
 [ 5.9643088 ]
 [ 6.06904853]
 [ 6.23667236]
 [ 6.26455707]
 [ 6.5141138 ]
 [ 6.62363154]
 [ 6.77639697]
 [ 6.89654347]
 [ 7.5406899 ]
 [ 6.65576025]
 [ 6.8397515 ]
 [ 6.12588929]
 [ 8.64007265]
 [ 6.88451983]
 [ 6.15683524]
 [ 6.12134362]
 [ 6.09553453]
 [ 5.99336605]
 [ 6.35513746]
 [ 8.52174456]
 [ 9.60900009]
 [ 7.5038693 ]
 [ 6.93549237]
 [ 6.61970929]
 [ 6.47718371]
 [ 6.12939478]
 [ 6.37056261]
 [ 6.35697027]
 [18.47131193]]"
8,target_9,2.928147046228486,-1.6182692423769582,0,60,90,"[[6.45]
 [6.65]
 [7.  ]
 [6.75]
 [6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]
 [4.14]]","[[ 7.05181653]
 [ 7.19829732]
 [ 7.14284832]
 [ 7.43146899]
 [ 7.37803785]
 [ 7.16047123]
 [ 7.41858812]
 [ 7.23273526]
 [ 6.80767317]
 [ 7.36650296]
 [ 6.61089212]
 [ 6.58614364]
 [ 6.51224618]
 [ 6.30760455]
 [ 6.00064542]
 [ 5.48249228]
 [ 5.52527675]
 [ 5.48539092]
 [ 5.66763066]
 [ 5.35836715]
 [ 5.65759478]
 [ 5.04525989]
 [ 5.61855419]
 [ 5.86225063]
 [ 5.5357936 ]
 [ 5.28240806]
 [ 5.47233644]
 [ 5.72777019]
 [ 5.90332755]
 [ 5.39616012]
 [ 5.2850599 ]
 [ 5.18587994]
 [ 5.13954066]
 [ 5.29362598]
 [ 4.98405618]
 [ 5.46587215]
 [ 6.19980304]
 [ 5.65823418]
 [ 6.07118312]
 [ 6.34195925]
 [ 5.66564094]
 [ 5.62991954]
 [ 4.94535972]
 [ 7.74678416]
 [ 6.12346436]
 [ 5.39151208]
 [ 5.33884114]
 [ 5.29372014]
 [ 5.19496319]
 [ 5.4208135 ]
 [ 7.97559734]
 [ 9.1609482 ]
 [ 6.75285487]
 [ 6.25852348]
 [ 6.32338341]
 [ 5.97648633]
 [ 5.46532443]
 [ 5.86225439]
 [ 5.7836195 ]
 [17.50599854]]"
9,target_10,2.5824849603253317,-0.9949876952474406,0,60,90,"[[6.52]
 [6.45]
 [6.65]
 [7.  ]
 [6.75]
 [6.55]
 [6.79]
 [6.94]
 [6.86]
 [7.  ]
 [7.1 ]
 [7.04]
 [7.31]
 [7.76]
 [7.46]
 [7.05]
 [6.55]
 [5.93]
 [6.09]
 [6.26]
 [6.11]
 [5.81]
 [5.82]
 [4.92]
 [4.53]
 [3.85]
 [4.2 ]
 [3.64]
 [2.91]
 [3.22]
 [2.6 ]
 [2.48]
 [2.47]
 [3.37]
 [3.19]
 [3.15]
 [3.56]
 [3.46]
 [3.7 ]
 [3.6 ]
 [3.04]
 [3.16]
 [2.62]
 [2.24]
 [2.27]
 [2.88]
 [3.14]
 [3.3 ]
 [2.6 ]
 [2.08]
 [2.18]
 [2.41]
 [2.44]
 [3.2 ]
 [3.18]
 [3.25]
 [3.18]
 [3.11]
 [3.05]
 [3.36]]","[[ 7.13665244]
 [ 7.35195458]
 [ 7.04187483]
 [ 7.24176758]
 [ 7.50932862]
 [ 7.32569419]
 [ 7.43751179]
 [ 7.14936171]
 [ 6.29844041]
 [ 7.29063224]
 [ 6.4149163 ]
 [ 6.4891202 ]
 [ 6.35778488]
 [ 5.92994236]
 [ 5.71601483]
 [ 5.08723409]
 [ 5.07156969]
 [ 5.03798359]
 [ 4.9704488 ]
 [ 4.81802133]
 [ 5.13617988]
 [ 4.23693739]
 [ 4.7713467 ]
 [ 4.91783153]
 [ 5.02319639]
 [ 4.56811799]
 [ 5.09455926]
 [ 5.1037589 ]
 [ 5.45355487]
 [ 4.98616564]
 [ 4.86076461]
 [ 4.74876889]
 [ 4.57066293]
 [ 4.62392804]
 [ 4.35916633]
 [ 4.78373936]
 [ 5.5974122 ]
 [ 5.06054031]
 [ 5.37711937]
 [ 5.55138942]
 [ 5.05633067]
 [ 4.89253039]
 [ 4.35563186]
 [ 6.93686446]
 [ 5.61904314]
 [ 4.84341058]
 [ 5.0013242 ]
 [ 4.96026712]
 [ 4.85417138]
 [ 4.88920971]
 [ 6.95104116]
 [ 8.27306496]
 [ 6.31807411]
 [ 6.00109205]
 [ 5.77450424]
 [ 5.42476146]
 [ 5.15143344]
 [ 5.64379215]
 [ 5.60851346]
 [15.70102352]]"
